area_sqft,bedrooms,bathrooms,location,house_type,state,city,price
645,1,2,Urban,Apartment,Odisha,Rourkela,2718948
716,2,2,Semi-Urban,Apartment,Andhra Pradesh,Vijayawada,2224715
488,1,1,Semi-Urban,Apartment,Odisha,Rourkela,1357707
846,1,1,Urban,Apartment,Ladakh,Leh,1452353
415,1,2,Urban,Apartment,Rajasthan,Kota,772630
2619,4,4,Urban,Villa,Karnataka,Hubli,6192000
647,1,2,Urban,Villa,Delhi,Karol Bagh,3681379
356,1,1,Urban,Apartment,Chhattisgarh,Raipur,1594159
2026,3,1,Semi-Urban,Apartment,Delhi,Karol Bagh,7924436
767,2,3,Urban,Apartment,Assam,Silchar,3781933
393,1,2,Urban,Villa,Assam,Silchar,1889076
973,1,1,Semi-Urban,Apartment,Uttar Pradesh,Lucknow,2874379
968,2,3,Urban,Apartment,Kerala,Thiruvananthapuram,3331535
390,1,2,Urban,Apartment,Gujarat,Ahmedabad,1599400
553,1,2,Semi-Urban,Apartment,Punjab,Ludhiana,1636998
1652,3,3,Urban,Apartment,Sikkim,Gangtok,6964869
1406,3,4,Urban,Apartment,Karnataka,Hubli,3255307
1876,2,2,Urban,Apartment,Sikkim,Gangtok,8182723
307,1,2,Urban,Apartment,Karnataka,Mangalore,1128285
896,2,2,Urban,Villa,Gujarat,Vadodara,5106737
1496,2,1,Urban,Apartment,Assam,Guwahati,8156063
1011,2,2,Urban,Apartment,Himachal Pradesh,Shimla,2266479
947,1,1,Urban,Villa,Odisha,Rourkela,4748147
812,2,3,Semi-Urban,Apartment,Jharkhand,Jamshedpur,2518182
541,1,1,Semi-Urban,Apartment,Assam,Dibrugarh,1756362
845,1,1,Urban,Apartment,Meghalaya,Shillong,3217200
313,1,1,Urban,Apartment,West Bengal,Kolkata,2188642
1017,1,1,Semi-Urban,Apartment,Bihar,Patna,1862733
1602,2,1,Urban,Apartment,Uttarakhand,Haridwar,4897072
517,1,2,Urban,Villa,Madhya Pradesh,Jabalpur,2659455
4263,3,1,Urban,Apartment,Uttar Pradesh,Agra,8933661
2375,5,1,Urban,Apartment,Jharkhand,Ranchi,4439394
1076,2,2,Urban,Apartment,Uttar Pradesh,Agra,2110670
549,1,2,Urban,Apartment,Jharkhand,Jamshedpur,1743410
1731,2,1,Urban,Apartment,Gujarat,Surat,3208572
553,1,2,Urban,Apartment,Tamil Nadu,Chennai,4110422
503,1,2,Urban,Villa,Rajasthan,Kota,1340212
314,1,2,Urban,Apartment,Andhra Pradesh,Guntur,1032716
1064,2,1,Urban,Apartment,Chhattisgarh,Bilaspur,4085686
486,1,2,Urban,Duplex,Meghalaya,Shillong,1759744
651,2,1,Urban,Villa,Haryana,Gurgaon,3127352
424,1,2,Urban,Apartment,Andhra Pradesh,Visakhapatnam,2003598
1213,2,3,Urban,Apartment,Maharashtra,Aurangabad,5368882
491,1,1,Urban,Apartment,Delhi,Dwarka,951476
1387,3,3,Urban,Apartment,Chhattisgarh,Bilaspur,3701472
1033,2,1,Urban,Apartment,Jharkhand,Jamshedpur,4456196
432,1,1,Urban,Apartment,Gujarat,Bhavnagar,1625295
1320,2,3,Urban,Apartment,Gujarat,Surat,2856919
1269,3,3,Urban,Apartment,Andhra Pradesh,Visakhapatnam,5607873
2225,3,4,Urban,Apartment,Jharkhand,Dhanbad,8928358
427,1,2,Urban,Apartment,Maharashtra,Kolhapur,1502115
1747,2,2,Urban,Apartment,Tamil Nadu,Coimbatore,6003281
396,1,1,Urban,Apartment,Kerala,Thiruvananthapuram,1835107
968,2,1,Urban,Apartment,Assam,Guwahati,4076587
1365,3,4,Urban,Apartment,Puducherry,Puducherry,5172950
419,1,2,Urban,Villa,Maharashtra,Kalyan,1039663
347,1,1,Urban,Apartment,Haryana,Gurgaon,1116081
591,1,2,Urban,Apartment,Gujarat,Vadodara,2804515
1495,2,2,Semi-Urban,Apartment,Uttar Pradesh,Lucknow,4864778
678,1,1,Urban,Apartment,Himachal Pradesh,Dharamshala,2473366
337,1,2,Urban,Duplex,Himachal Pradesh,Shimla,601203
543,1,2,Urban,Apartment,Uttarakhand,Dehradun,2336108
1489,2,1,Urban,Apartment,Rajasthan,Kota,2569127
868,1,2,Urban,Apartment,Tamil Nadu,Tiruchirappalli,3718873
2084,4,4,Urban,Apartment,Maharashtra,Nashik,4609021
2184,5,4,Urban,Apartment,Uttar Pradesh,Ghaziabad,8449283
2066,3,1,Urban,Duplex,Uttarakhand,Haridwar,8156216
927,1,1,Urban,Apartment,Maharashtra,Kolhapur,4214792
974,2,3,Urban,Duplex,West Bengal,Kolkata,5153658
482,1,2,Urban,Apartment,Tamil Nadu,Coimbatore,1326330
470,1,2,Urban,Apartment,Meghalaya,Shillong,2062159
368,1,2,Urban,Apartment,Karnataka,Bengaluru,3044077
1079,2,3,Urban,Apartment,West Bengal,Siliguri,4593341
795,2,3,Semi-Urban,Apartment,Haryana,Panipat,2464092
651,2,3,Urban,Apartment,Uttar Pradesh,Ghaziabad,2687980
607,1,1,Urban,Villa,Gujarat,Ahmedabad,3445152
1163,1,2,Urban,Apartment,Uttar Pradesh,Kanpur,4977116
889,2,2,Semi-Urban,Apartment,Karnataka,Hubli,1675705
3036,5,3,Urban,Apartment,Rajasthan,Jodhpur,13892554
870,1,2,Urban,Apartment,Delhi,New Delhi,13378817
855,2,2,Urban,Apartment,Bihar,Bhagalpur,4155301
962,1,1,Semi-Urban,Apartment,Delhi,Karol Bagh,3166922
469,1,2,Urban,Apartment,Bihar,Patna,928049
648,2,1,Urban,Apartment,Madhya Pradesh,Indore,1220237
789,1,2,Semi-Urban,Duplex,Haryana,Faridabad,3040706
385,1,1,Urban,Duplex,Chhattisgarh,Bhilai,1950108
2475,3,2,Urban,Villa,Andhra Pradesh,Guntur,13900057
959,1,2,Urban,Apartment,Madhya Pradesh,Indore,2009336
674,1,2,Semi-Urban,Apartment,Jammu & Kashmir,Srinagar,1549001
679,2,1,Urban,Apartment,Delhi,Delhi,13522420
446,1,1,Urban,Villa,Telangana,Nizamabad,2339180
