Area_sqft,Bedrooms,Bathroom,Location_Type,House_Type,State,City,Price
3511,5,2,Rural,Duplex,Maharashtra,Mumbai,10725780
4956,1,1,Urban,Villa,Tamil Nadu,Chennai,13225751
2203,5,3,Rural,Duplex,Madhya Pradesh,Indore,7684419
659,3,5,Rural,Villa,Karnataka,Bengaluru,3633879
4945,1,3,Semiurban,Duplex,Maharashtra,Pune,13593991
1586,4,4,Rural,Apartment,Maharashtra,Mumbai,5746385
672,1,4,Semiurban,Duplex,Karnataka,Bengaluru,3173498
1111,3,5,Urban,Apartment,Bihar,Bhagalpur,4355652
3864,2,5,Semiurban,Apartment,West Bengal,Howrah,11199330
2075,2,5,Urban,Villa,Uttar Pradesh,Noida,6816648
3130,4,1,Urban,Apartment,Karnataka,Mangalore,8972579
4377,4,3,Urban,Duplex,Rajasthan,Jaipur,12586483
4738,2,4,Rural,Apartment,Karnataka,Mysuru,13174616
1896,2,2,Semiurban,Duplex,Uttar Pradesh,Noida,6032467
3709,4,1,Rural,Duplex,Delhi (UT),Delhi,10885374
986,2,4,Rural,Duplex,Uttar Pradesh,Varanasi,4039742
970,3,2,Semiurban,Villa,Maharashtra,Mumbai,3871003
4694,2,1,Rural,Apartment,Bihar,Muzaffarpur,12693295
4223,3,2,Urban,Duplex,Maharashtra,Nagpur,11860718
3358,3,2,Semiurban,Villa,Bihar,Muzaffarpur,9718508
2872,3,2,Rural,Apartment,Gujarat,Ahmedabad,8549065
1130,2,5,Urban,Villa,Delhi (UT),Delhi,4395418
1644,3,1,Semiurban,Apartment,Delhi (UT),Delhi,5257312
2043,1,1,Semiurban,Villa,Madhya Pradesh,Jabalpur,5917364
827,1,3,Semiurban,Apartment,Maharashtra,Pune,3087517
2351,3,4,Semiurban,Villa,Karnataka,Mysuru,7495217
1764,5,2,Rural,Apartment,Maharashtra,Nashik,6127191
1494,1,5,Rural,Duplex,Karnataka,Mangalore,5471796
1510,5,3,Semiurban,Apartment,Karnataka,Hubli,5403792
853,1,4,Rural,Villa,West Bengal,Kolkata,3430783
3025,1,1,Urban,Villa,Tamil Nadu,Salem,8105091
1675,5,2,Semiurban,Duplex,Uttar Pradesh,Kanpur,6080350
2798,5,3,Urban,Duplex,Madhya Pradesh,Indore,8877738
1390,3,2,Urban,Apartment,Uttar Pradesh,Lucknow,4578482
4213,4,1,Rural,Villa,Delhi (UT),Delhi,12024667
1404,5,3,Urban,Villa,Gujarat,Surat,5371865
2774,1,4,Urban,Villa,West Bengal,Siliguri,8033427
1943,3,4,Semiurban,Apartment,Delhi (UT),Delhi,6255275
3077,3,3,Semiurban,Villa,Bihar,Gaya,9323490
1679,1,4,Semiurban,Apartment,Rajasthan,Jaipur,5248840
2563,4,2,Semiurban,Apartment,Delhi (UT),Delhi,7932396
1570,3,5,Semiurban,Villa,Gujarat,Surat,5580605
2613,5,1,Urban,Villa,Delhi (UT),Delhi,8158622
1946,3,3,Urban,Villa,Uttar Pradesh,Agra,6403494
4564,2,5,Rural,Apartment,Bihar,Gaya,12952687
1305,4,2,Urban,Apartment,Delhi (UT),Delhi,4701958
810,5,5,Urban,Apartment,Tamil Nadu,Chennai,4058204
2620,5,2,Rural,Apartment,Rajasthan,Jodhpur,8359710
2300,3,2,Urban,Duplex,West Bengal,Durgapur,7048394
827,1,3,Urban,Villa,West Bengal,Siliguri,2996526
2965,5,5,Rural,Duplex,Delhi (UT),Delhi,9675077
4232,2,3,Semiurban,Apartment,Uttar Pradesh,Noida,11834911
1665,5,4,Rural,Villa,West Bengal,Durgapur,6163098
720,1,1,Semiurban,Villa,Madhya Pradesh,Bhopal,2642018
4566,4,5,Urban,Apartment,Bihar,Bhagalpur,13258652
2596,3,4,Rural,Villa,Tamil Nadu,Coimbatore,8337503
4319,1,4,Semiurban,Villa,Gujarat,Ahmedabad,12175448
2661,4,3,Semiurban,Villa,Karnataka,Hubli,8273527
2897,1,3,Rural,Duplex,Delhi (UT),Delhi,8410793
4161,3,3,Urban,Villa,Maharashtra,Mumbai,11778738
2881,3,1,Rural,Villa,Gujarat,Rajkot,8570606
1020,4,5,Semiurban,Villa,Rajasthan,Jaipur,4429319
4921,3,5,Urban,Apartment,Tamil Nadu,Salem,13812734
1344,5,3,Rural,Apartment,Rajasthan,Jaipur,5190580
3135,4,3,Urban,Villa,Gujarat,Ahmedabad,9354341
1878,4,2,Semiurban,Duplex,Maharashtra,Aurangabad,6336250
667,2,1,Urban,Villa,Karnataka,Mysuru,2505970
4936,2,3,Semiurban,Duplex,Maharashtra,Nagpur,13754175
2031,5,1,Urban,Duplex,Delhi (UT),Delhi,6776474
1332,4,3,Semiurban,Duplex,Tamil Nadu,Coimbatore,5191348
3930,1,1,Semiurban,Apartment,Maharashtra,Pune,10539124
967,5,4,Semiurban,Villa,West Bengal,Durgapur,4543588
812,4,2,Semiurban,Apartment,Rajasthan,Udaipur,3572042
1924,1,1,Semiurban,Duplex,Delhi (UT),Delhi,5859110
4074,3,4,Urban,Apartment,Karnataka,Bengaluru,11544718
3237,3,5,Semiurban,Duplex,Bihar,Muzaffarpur,9863268
3276,2,1,Rural,Villa,Karnataka,Hubli,9330428
1355,4,2,Semiurban,Villa,Maharashtra,Nagpur,4985510
2219,3,3,Rural,Duplex,West Bengal,Siliguri,7134801
4817,5,3,Urban,Apartment,Bihar,Muzaffarpur,13820927
2275,1,4,Rural,Duplex,Tamil Nadu,Coimbatore,7163449
4090,1,5,Semiurban,Duplex,Bihar,Bhagalpur,11600052
1528,2,1,Semiurban,Apartment,West Bengal,Howrah,4773097
3350,5,5,Semiurban,Apartment,Delhi (UT),Delhi,10584055
1132,1,5,Urban,Duplex,Tamil Nadu,Madurai,4358280
2779,5,4,Urban,Duplex,Rajasthan,Jodhpur,8948678
678,1,2,Semiurban,Apartment,Delhi (UT),Delhi,2437811
2182,1,4,Rural,Duplex,Tamil Nadu,Salem,6953539
3996,4,4,Semiurban,Duplex,West Bengal,Kolkata,12005640
1242,3,4,Urban,Apartment,West Bengal,Kolkata,4487949
1392,3,5,Rural,Duplex,Madhya Pradesh,Gwalior,5408291
1890,2,2,Rural,Duplex,Bihar,Bhagalpur,5993505
4454,1,4,Semiurban,Apartment,Maharashtra,Nagpur,12355680
3024,4,4,Rural,Duplex,Tamil Nadu,Madurai,9630158
2705,2,1,Urban,Duplex,Tamil Nadu,Coimbatore,7762406
1869,2,1,Rural,Duplex,Gujarat,Rajkot,5948122
2228,3,2,Rural,Apartment,Gujarat,Vadodara,6784628
3531,1,4,Rural,Duplex,Rajasthan,Jodhpur,10303296
966,4,1,Semiurban,Duplex,Gujarat,Rajkot,3904677
2369,3,5,Rural,Duplex,Karnataka,Bengaluru,7998023
4194,2,2,Semiurban,Villa,Karnataka,Bengaluru,11501343
3573,4,2,Urban,Villa,Bihar,Gaya,10352563
4568,2,2,Urban,Apartment,Madhya Pradesh,Gwalior,12368361
4137,1,5,Rural,Apartment,Madhya Pradesh,Indore,11668808
1630,1,3,Semiurban,Duplex,Maharashtra,Pune,5324789
3219,4,3,Rural,Villa,Uttar Pradesh,Lucknow,9780308
825,5,5,Rural,Apartment,Madhya Pradesh,Bhopal,4334004
2442,4,1,Urban,Villa,Delhi (UT),Delhi,7507732
3143,4,1,Urban,Villa,Delhi (UT),Delhi,9241223
753,2,3,Semiurban,Duplex,Maharashtra,Pune,3147110
1267,2,4,Urban,Duplex,Tamil Nadu,Salem,4546396
4042,5,4,Urban,Apartment,Maharashtra,Nashik,12039893
1994,4,3,Semiurban,Apartment,Tamil Nadu,Chennai,6523910
1976,2,1,Urban,Villa,Maharashtra,Nashik,5926701
4472,4,5,Rural,Duplex,Karnataka,Mangalore,13515905
2787,5,2,Semiurban,Villa,Maharashtra,Mumbai,8730814
4360,4,5,Rural,Villa,Maharashtra,Mumbai,13079298
3480,1,1,Semiurban,Villa,Madhya Pradesh,Bhopal,9576699
2094,4,5,Urban,Duplex,West Bengal,Howrah,7231900
4631,4,5,Urban,Duplex,Tamil Nadu,Coimbatore,13696800
3583,1,5,Urban,Apartment,Maharashtra,Nagpur,10184900
2863,1,1,Urban,Duplex,Delhi (UT),Delhi,7849210
3517,5,1,Rural,Duplex,West Bengal,Kolkata,10595666
3305,2,1,Urban,Duplex,Rajasthan,Jodhpur,9175862
